date,article_count,sentiment_sum,sentiment_mean,sentiment_sum_lag1,sentiment_mean_lag1
2018-11-12,50,4,0.08,5.0,0.13513513513513514
2018-11-13,46,3,0.06521739130434782,4.0,0.08
2018-11-14,53,14,0.2641509433962264,3.0,0.06521739130434782
2018-11-15,30,13,0.43333333333333335,14.0,0.2641509433962264
2018-11-16,13,2,0.15384615384615385,13.0,0.43333333333333335
2018-11-17,20,1,0.05,2.0,0.15384615384615385
2018-11-18,4,1,0.25,1.0,0.05
2018-11-19,19,1,0.05263157894736842,1.0,0.25
2018-11-20,102,4,0.0392156862745098,1.0,0.05263157894736842
2018-11-21,85,8,0.09411764705882353,4.0,0.0392156862745098
2018-11-22,27,1,0.037037037037037035,8.0,0.09411764705882353
2018-11-23,10,0,0.0,1.0,0.037037037037037035
2018-11-24,4,0,0.0,0.0,0.0
2018-12-02,4,1,0.25,0.0,0.0
2018-12-03,6,0,0.0,1.0,0.25
2018-12-04,87,14,0.16091954022988506,0.0,0.0
2018-12-05,39,13,0.3333333333333333,14.0,0.16091954022988506
2018-12-06,50,2,0.04,13.0,0.3333333333333333
2018-12-07,52,0,0.0,2.0,0.04
2018-12-08,9,-1,-0.1111111111111111,0.0,0.0
2018-12-09,31,2,0.06451612903225806,-1.0,-0.1111111111111111
2018-12-10,20,2,0.1,2.0,0.06451612903225806
2018-12-11,60,21,0.35,2.0,0.1
2018-12-12,34,5,0.14705882352941177,21.0,0.35
2018-12-13,58,6,0.10344827586206896,5.0,0.14705882352941177
2018-12-14,32,0,0.0,6.0,0.10344827586206896
2018-12-15,16,4,0.25,0.0,0.0
2018-12-16,17,1,0.058823529411764705,4.0,0.25
2018-12-17,42,4,0.09523809523809523,1.0,0.058823529411764705
2018-12-18,39,3,0.07692307692307693,4.0,0.09523809523809523
2018-12-19,32,11,0.34375,3.0,0.07692307692307693
2018-12-20,35,4,0.11428571428571428,11.0,0.34375
2018-12-21,67,32,0.47761194029850745,4.0,0.11428571428571428
2018-12-22,20,4,0.2,32.0,0.47761194029850745
2018-12-23,4,0,0.0,4.0,0.2
2018-12-24,6,2,0.3333333333333333,0.0,0.0
2018-12-25,58,18,0.3103448275862069,2.0,0.3333333333333333
